FID;id;kkorgnr;enhedsnavn;forvaltning;centernavn;enhedstype;ejerforhold;distrikt;koerorgnr;remedybetaler;ean;cvr;se;opusnavn;losorg;losnavn;adm_enheds_id;pnummer;telefon;mail;facebook;www;vejadresseringsnavn;vejnavn;postnummer;bynavn;husnummer;etage;doerbetegnelse;adresse;nordlig;oestlig;giskoory;giskoorx;vejkode;kommunenavn;kommunekode;postboks;skoledistrikt;socialdistrikt;politidistrikt;postdistrikt;bydelnavn;rodenr;rodenavn;lokaludvalgnr;lokaludvalgnavn;locationuuid;type;alias;primaer;hemmelige;offentlig;lokationsnr;enhedsnr;cvr_branchekode;link_kkorg;ogc_fid;wkb_geometry
kkorg_enheder_offentlig.134;483;5003;KKU Område Almen;BUF;Fagligt Center;Ungdoms- og efterskoler;Kommunal;Forvaltning - område/kontor;31400;31400;5,79801E+12;64942212;82601015;;314004200;KKU;1028131;1003254568;88775367;ungdomsskolen@kk.dk;;http://www.ungdomsskolen.kk.dk;Fredericiagade 39;Fredericiagade;1310;København K;39;;;Fredericiagade 39, 1310 København K;125.883.764;556.862.626;6176999.38;725555.07;1916;København;101;;Nyboder Skole;City-Østerbro;;København K;Indre by;26;Fredericiagades;2;Indre By;736a4f24-9c1b-4b16-86f4-e638a0307b9d;Ungdomsskole;;JA;No;JA;L2146;U571;853110;https://kkorg.kk.dk/tree-unit/5ba3c71a76989e06380004e9;134;MULTIPOINT ((12.58837644841531 55.68626259208866))
kkorg_enheder_offentlig.135;858;4579;Flerbørnsdagpleje;BUF;Administrativt Ressourcecenter;Dagplejemødre;Kommunal;Forvaltning - niv. 3 enhed under fagkontor;37105;37105;5,79801E+12;64942212;82601015;;371051051;;817975;1024668920;30342309;;;;Blommestien 8;Blommestien;2500;Valby;8;;;Blommestien 8, 2500 Valby;125.046.848;556.486.596;6172548.18;720508.38;612;København;101;;Harrestrup Å Skole;Valby-Vesterbro-Kgs. Enghave;;Valby;Valby;226;Druehavens;7;Valby;8c2454db-30f9-4efa-8d0d-1d3c2b5b464f;Borgerhenvendelse, Dagpleje, Flerbørnsdagpleje;;NEJ;No;JA;L4900;U829;889110;https://kkorg.kk.dk/tree-unit/5ba3c71e76989e0e080052d5;135;MULTIPOINT ((12.50468479671178 55.648659674383694))
kkorg_enheder_offentlig.136;1514;4949;Lynghuset 3. sal og Administration;SOF;Borgercenter Handicap;Døgninstitutioner for personer med fysisk handicap;Kommunal;Amager Vest;64136;64136;5,79801E+12;64942212;55072817;;641360003;BCH COS;803969;1007514456;33663366;;;;Provstevej 4;Provstevej;2400;København NV;4;;;Provstevej 4, 2400 København NV;125.276.021;557.053.279;6178923.63;721628.77;5628;København;101;;Grøndalsvængets Skole;Bispebjerg;;København NV;Bispebjerg;298;Theklavejs;10;Bispebjerg;9ad1bdb6-5799-4c76-b384-17cf74d2cb37;Handicaptilbud;;JA;No;JA;L584;U2671;873010;https://kkorg.kk.dk/tree-unit/5ba3c73d76989e12d8005ae1;136;MULTIPOINT ((12.527602100388782 55.70532794786973))
kkorg_enheder_offentlig.137;1423;521;Den Åbne Dør;SOF;Borgercenter Voksne;Andre former for institutionsophold;Selvejende;Vesterbro-Kongens Enghave;68888;68888;1E+12;85630113;39571293;;688888880;BCV CfUVF;750835;1003101685;33663366;;;;Hedebygade 30;Hedebygade;1754;København V;30;;;Hedebygade 30, 1754 København V;125.444.859;556.686.395;6174897.49;722897.79;2716;København;101;;Vesterbro Ny Skole;Valby-Vesterbro-Kgs. Enghave;;København V;Vesterbro-Kongens Enghave;189;Enghavevejs;5;Vesterbro;f44cf31e-025c-4ca6-96bc-e5961846449e;Tilbud;;JA;No;JA;L224;U3222;879090;https://kkorg.kk.dk/tree-unit/5ba3c74676989e0efc0039bb;137;MULTIPOINT ((12.544485873251555 55.66863948488884))
kkorg_enheder_offentlig.138;1020;5038;Administration SAG og ESC;BUF;Område Valby/Vesterbro/Kgs. Enghave;Gymnasier, studenter- og HF-kurser;Kommunal;Valby-Vesterbro-Kgs. Enghave;31300;31300;5,79801E+12;64942212;82601015;;313005001;Sankt Annæ Gymnasium;1028734;1023804146;;;;https://sag.aula.dk;Ny Carlsberg Vej 99;Ny Carlsberg Vej;1799;København V;99;;;Ny Carlsberg Vej 99, 1799 København V;125.340.163;556.669.892;6174680.35;722249.07;5100;København;101;;Vesterbro Ny Skole;Valby-Vesterbro-Kgs. Enghave;;København V;Vesterbro-Kongens Enghave;203;Gl. Carlsbergs;5;Vesterbro;8bf5bc09-4679-4d21-95f0-7792316401db;Offentlig administration;;NEJ;No;JA;L5103;U305;853120;https://kkorg.kk.dk/tree-unit/5ba3c71676989e13ec002e5d;138;MULTIPOINT ((12.53401634586787 55.66698926097253))
kkorg_enheder_offentlig.139;787;4578;Kommunal Dagpleje;BUF;Administrativt Ressourcecenter;Aldersintegrerede institutioner;Kommunal;Forvaltning - niv. 3 enhed under fagkontor;37105;37105;5,79801E+12;64942212;82601015;;371051050;;801740;1024950456;;;;;Ryesgade 68B;Ryesgade;2100;København Ø;68B;;;Ryesgade 68B, 2100 København Ø;125.718.195;556.944.068;6177851.37;724468.14;6040;København;101;;Sortedamskolen;City-Østerbro;;København Ø;Østerbro;109;Lundings;3;Østerbro;e5a66bef-13dc-4d18-8b56-25c51971d75f;Borgerhenvendelse, Dagpleje, Legestue;;NEJ;No;JA;L4910;U828;889150;https://kkorg.kk.dk/tree-unit/5ba3c71e76989e0e080052cf;139;MULTIPOINT ((12.57181949099967 55.694406858150714))
kkorg_enheder_offentlig.140;94;2012;Børnehuset Det Blå Univers;BUF;Område Brønshøj/Vanløse;Aldersintegrerede institutioner;Selvejende;Brønshøj-Vanløse;35342;35342;;53386814;82601015;;353429999;Brønshøj/Vanløse Netværk 2;1025419;1003101533;31634407;35342@buf.kk.dk;;https://detblaaunivers.dk;Frederikssundsvej 298;Frederikssundsvej;2700;Brønshøj;298;;;Frederikssundsvej 298, 2700 Brønshøj;124.764.506;557.112.746;6179422.59;718383.33;1964;København;101;;Husum Skole;Brønshøj-Husum-Vanløse;;Brønshøj;Brønshøj-Husum;262;Branddammens;9;Brønshøj-Husum ;98a3e864-2f01-446f-b206-ee50f42c576e;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Vuggestue;;JA;No;JA;L2667;U950;889150;https://kkorg.kk.dk/tree-unit/5ba3c72176989e1360003e0b;140;MULTIPOINT ((12.476450586224747 55.711274585055044))
kkorg_enheder_offentlig.141;852;2211;Rosalie;BUF;Område Indre By/Østerbro;Aldersintegrerede institutioner;Selvejende;Indre By-Østerbro;35525;35525;;63466212;82601015;;355259999;Indre By/Østerbro Netværk 5;1025750;1003153977;41717643;35525@buf.kk.dk;;http://www.rosalie.dk;Helgesensgade 2;Helgesensgade;2100;København Ø;2;;;Helgesensgade 2, 2100 København Ø;125.725.121;556.949.677;6177915.99;724508.43;2768;København;101;;Sortedamskolen;City-Østerbro;;København Ø;Østerbro;106;Kroghs;3;Østerbro;393de22f-5586-436e-983e-1079562ea82b;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Vuggestue;;JA;No;JA;L1686;U642;889150;https://kkorg.kk.dk/tree-unit/5ba3c71b76989e0638000693;141;MULTIPOINT ((12.572512116933915 55.694967733080915))
kkorg_enheder_offentlig.142;590;5475;Center for Mental Sundhed Team 3;SUF;Center for Forebyggelse og Folkesundhed;Sundhedsvæsen i øvrigt i.a.n.;Kommunal;Bydækkende;22602;22602;5,79801E+12;64942212;16480703;Center for Mental Sundhed - Team 3;5475;LK BiN;1032303;1021560991;35302530;;;;Mimersgade 41;Mimersgade;2200;København N;41;;;Mimersgade 41, 2200 København N;125.482.268;556.990.364;6178290.08;722959.8;4768;København;101;;Rådmandsgades Skole;Nørrebro;;København N;Nørrebro;153;Ægirs;4;Nørrebro;c8824e71-a934-497e-b573-dbc7a9715fa0;Sundhedstilbud, Behandlingstilbud, Stressklinik;;JA;No;JA;L1507;U2516;869090;https://kkorg.kk.dk/tree-unit/5ba3c73b76989e1250001e6f;142;MULTIPOINT ((12.548226834572587 55.699036414782064))
kkorg_enheder_offentlig.143;129;1796;Røde Ko i Centrum;BUF;Område Indre By/Østerbro;Aldersintegrerede institutioner;Selvejende;Indre By-Østerbro;35250;35250;5,79801E+12;38936611;38936611;;352509999;Tværgående netværk 3/Det Kollektive Partnerskab;1025757;1014852286;33146430;35250@buf.kk.dk;;https://roedekoicentrum-kk.aula.dk;Skindergade 1;Skindergade;1159;København K;1;3;;Skindergade 1, 1159 København K;125.764.969;556.809.034;6176364.78;724839.48;6460;København;101;;Den Classenske Legatskole;City-Østerbro;;København K;Indre by;10;Frimands;2;Indre By;40c0afba-4da5-4e89-88e0-b42259fafe3b;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Opsamlingsadresse, Vuggestue;;JA;No;JA;L2356;U699;889150;https://kkorg.kk.dk/tree-unit/5ba3c71c76989e0e08004fc9;143;MULTIPOINT ((12.576496930893507 55.680903436211295))
kkorg_enheder_offentlig.144;657;1074;Egebo Bystævneparken;SUF;Sundhed og Ældre - Kbh Nord;Plejehjem;Kommunal;Nord;22203;22203;5,79801E+12;64942212;16480703;;222030001;Nord 2;750970;1003251983;38274040;egebo@kk.dk;;https://www.boligertilaeldre.kk.dk/egebo;Bystævneparken 22;Bystævneparken;2700;Brønshøj;22;;;Bystævneparken 22, 2700 Brønshøj;124.736.624;557.159.571;6179934.59;718182.14;1006;København;101;;Korsager Skole;Brønshøj-Husum-Vanløse;;Brønshøj;Brønshøj-Husum;262;Branddammens;9;Brønshøj-Husum ;16f6408c-760a-45f4-9342-9f02be97b1d9;Plejebolig;;JA;No;JA;L1679;U2012;871010;https://kkorg.kk.dk/tree-unit/5ba3c73276989e0278005e8f;144;MULTIPOINT ((12.473662377480244 55.71595716267218))
kkorg_enheder_offentlig.145;658;3365;Fælledgården Plejecenter;SUF;Sundhed og Ældre - Kbh Nord;Plejehjem;Selvejende;Nord;22119;22119;5,79801E+12;82104518;82104518;;221190001;Nord 1;800804;1003253329;39135100;faelledgaarden@suf.kk.dk;;https://www.boligertilaeldre.kk.dk/faelledgaarden;Drejøgade 3;Drejøgade;2100;København Ø;3;;;Drejøgade 3, 2100 København Ø;125.720.131;557.087.952;6179452.17;724397.78;1332;København;101;;Strandvejsskolen;City-Østerbro;;København Ø;Østerbro;92;Hesseløgades;3;Østerbro;52824161-cdac-4ed5-aaf3-ef121aee3835;Aktivitetstilbud, Demenscenter, Plejebolig;;JA;No;JA;L1234;U2317;871010;https://kkorg.kk.dk/tree-unit/5ba3c73776989e158c006d25;145;MULTIPOINT ((12.572013084356646 55.708795237125194))
kkorg_enheder_offentlig.146;680;988;Ryholtgård;SUF;Sundhed og Ældre - Kbh Nord;Plejehjem;Kommunal;Nord;22227;22227;5,79801E+12;64942212;16480703;;222270001;Nord 1;750981;1016225149;82325200;ryholtgaard@suf.kk.dk;;https://www.boligertilaeldre.kk.dk/ryholtgaard;Rymarksvej 23;Rymarksvej;2900;Hellerup;23;;;Rymarksvej 23, 2900 Hellerup;125.620.085;557.247.833;6181197.91;723678.12;6048;København;101;;Lundehusskolen;City-Østerbro;;Hellerup;Østerbro;103;Ingeniørkasernens;3;Østerbro;7eba855c-ca01-4f93-8291-1f2e61c23cd7;Plejebolig;;JA;No;JA;L2024;U2328;871010;https://kkorg.kk.dk/tree-unit/5ba3c73776989e158c006d67;146;MULTIPOINT ((12.562008456150766 55.724783348882106))
kkorg_enheder_offentlig.147;74;6408;Fritidsinstitutionen ved Korsager Skole/Fritidshjemmet Nordlyset;BUF;Område Brønshøj/Vanløse;Skolefritidsordninger og fritidshjem;Kommunal;Brønshøj-Vanløse;;;5,79801E+12;64942212;82601015;Fritidsinstitutionen ved Korsager Skole;6408;;1056898;1025910709;21368399;77018@kk.dk;;https://korsager.aula.dk/;Storegårdsvej 7;Storegårdsvej;2700;Brønshøj;7;;;Storegårdsvej 7, 2700 Brønshøj;124.740.432;557.123.666;6179536.46;718226.08;6936;København;101;;Korsager Skole;Brønshøj-Husum-Vanløse;;Brønshøj;Brønshøj-Husum;262;Branddammens;9;Brønshøj-Husum ;a1321be8-3400-4f01-a774-d3124d34ae1a;Borgerhenvendelse, Fritidsinstitution, KKFO;;JA;No;JA;L4741;U3840;889140;https://kkorg.kk.dk/tree-unit/5ee223b5395a000029000259;147;MULTIPOINT ((12.474043216571696 55.71236663082464))
kkorg_enheder_offentlig.148;1179;5299;Fritidscenter Bispebjerg Syd;BUF;Fagligt Center;Aldersintegrerede institutioner;Kommunal;Nørrebro-Bispebjerg;37921;37921;5,79801E+12;64942212;82601015;;5299;Fritidsklynge Nørrebro/Bispebjerg;1031720;1020427236;53252347;37921@buf.kk.dk;;https://fc-bispebjergsyd-kk.aula.dk;Drejervej 19;Drejervej;2400;København NV;19;;;Drejervej 19, 2400 København NV;125.347.282;557.024.037;6178621.23;722092.87;1328;København;101;;Tagensbo Skole;Bispebjerg;;København NV;Bispebjerg;308;Frederiksborgvejs;10;Bispebjerg;3b205967-587d-4f25-b366-f821d3fc7266;Fritidscenter, Ungdomsklub;;NEJ;No;JA;L672;U353;889150;https://kkorg.kk.dk/tree-unit/5ba3c71676989e13ec002f7d;148;MULTIPOINT ((12.534728193798996 55.702403743261044))
kkorg_enheder_offentlig.149;401;2259;Kong Tumle;BUF;Område Indre By/Østerbro;Børnehaver;Kommunal;Indre By-Østerbro;37552;37552;5,79801E+12;64942212;82601015;;375525520;Indre By/Østerbro Klynge J;750520;1007514200;33175800;37552@buf.kk.dk;;https://kongtumle-kk.aula.dk;Mørkhøj Bygade 10;Mørkhøj Bygade;2860;Søborg;10;;;;;;;;595;Gladsaxe;159;;;;;;;;;;;7af9b6b3-d2fe-414c-86ec-9fac393f7c3d;Aldersintegreret institution, Børnehave, Daginstitution, Udflytteradresse;;NEJ;No;JA;L1735;U666;889130;https://kkorg.kk.dk/tree-unit/5ba3c71c76989e0e08004f03;149;
kkorg_enheder_offentlig.150;1133;2115;Ellebjerg Skole;BUF;Område Valby/Vesterbro/Kgs. Enghave;Folkeskoler o.lign.;Kommunal;Valby-Vesterbro-Kgs. Enghave;31152;31152;5,79801E+12;64942212;82601015;;311520000;;804258;1003253718;35302450;ellebjergskole@kk.dk;;https://ellebjergskole.aula.dk;P. Knudsens Gade 37;P. Knudsens Gade;2450;København SV;37;;;P. Knudsens Gade 37, 2450 København SV;125.316.106;556.510.747;6172902.72;722188.04;3816;København;101;;Ellebjerg Skole;Valby-Vesterbro-Kgs. Enghave;;København SV;Vesterbro-Kongens Enghave;201;Haydns;6;Kongens Enghave;4ff720c6-02a4-4b8b-b825-c8b94c709d60;Borgerhenvendelse, Distriktsskole;;JA;No;JA;L1741;U316;852010;https://kkorg.kk.dk/tree-unit/5ba3c71676989e13ec002e9f;150;MULTIPOINT ((12.531610607466158 55.6510747384171))
kkorg_enheder_offentlig.151;826;6410;Fritidsinstitutionen ved Husum Skole;BUF;Område Brønshøj/Vanløse;Skolefritidsordninger og fritidshjem;Kommunal;Brønshøj-Vanløse;;;5,79801E+12;64942212;82601015;Fritidsinstitutionen ved Husum Skole;6410;;1056902;1026025563;71743517;77020@kk.dk;;https://husumskole.aula.dk;Nordrupvej 12;Nordrupvej;2700;Brønshøj;12;;;Nordrupvej 12, 2700 Brønshøj;124.714.013;557.040.782;6178606.33;718106.4;5056;København;101;;Husum Skole;Brønshøj-Husum-Vanløse;;Brønshøj;Brønshøj-Husum;253;Kyringevejs;9;Brønshøj-Husum ;367b9a62-22e8-47e4-9e8b-be9eed0f5b72;Fritidsinstitution, KKFO;;NEJ;No;JA;L4770;U3842;889140;https://kkorg.kk.dk/tree-unit/5ee2418b1d1f00007b001c59;151;MULTIPOINT ((12.471401328852936 55.704078238737324))
kkorg_enheder_offentlig.152;1300;5858;CBE Job og Fastholdelse;BIF;Center for Beskæftigelse og Erhverv;Arbejdsformidlingskontorer;Kommunal;BIF-hierarki niveau 2;82700;82700;5,79801E+12;64942212;17363778;;5858;JKK;1042423;1024286157;82565682;bifjka@bif.kk.dk;;;Gammel Køge Landevej 43;Gammel Køge Landevej;2500;Valby;43;;;Gammel Køge Landevej 43, 2500 Valby;125.147.337;556.584.378;6173667.66;721085.2;2100;København;101;;Harrestrup Å Skole;Valby-Vesterbro-Kgs. Enghave;;Valby;Valby;209;Ellebjerg;7;Valby;7aed0e7c-3e64-40c9-80d7-8dbd314c390b;Jobcenter;;JA;No;JA;L1271;U1769;781000;https://kkorg.kk.dk/tree-unit/5ba3c72e76989e0db00009dd;152;MULTIPOINT ((12.514733725929643 55.658437895689104))
kkorg_enheder_offentlig.153;635;2154;Transformeren;BUF;Område Valby/Vesterbro/Kgs. Enghave;Aldersintegrerede institutioner;Kommunal;Valby-Vesterbro-Kgs. Enghave;37315;37315;5,79801E+12;64942212;82601015;;373153150;Valby/Vesterbro/Kgs. Enghave Klynge E;818003;1011883628;33175940;37315@buf.kk.dk;;https://transformeren-kk.aula.dk;Enghave Plads 27;Enghave Plads;1670;København V;27;;;Enghave Plads 27, 1670 København V;125.442.927;556.665.245;6174661.66;722897.68;1588;København;101;;Tove Ditlevsens Skole;Valby-Vesterbro-Kgs. Enghave;;København V;Vesterbro-Kongens Enghave;185;Haderslevgades;5;Vesterbro;bd4565f6-3654-445e-b4e8-ab36c96d2222;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Opsamlingsadresse, Vuggestue;;JA;No;JA;L2837;U211;889150;https://kkorg.kk.dk/tree-unit/5ba3c71476989e11dc004679;153;MULTIPOINT ((12.54429272853324 55.6665245566564))
kkorg_enheder_offentlig.154;584;5477;Center for Genoptræning - Østerbro;SUF;Sundhed og Ældre - Kbh Nord;Sundhedsvæsen i øvrigt i.a.n.;Kommunal;Nord;22603;22603;5,79801E+12;64942212;16480703;;5477;Nord 2;1032322;1021537191;35303210;genoptraening-osterbro@kk.dk;;;Randersgade 60;Randersgade;2100;København Ø;60;st;;Randersgade 60, 2100 København Ø;125.802.945;55.707.446;6179328.97;724925.54;5716;København;101;;Vibenshus Skole;City-Østerbro;;København Ø;Østerbro;82;Øresunds;3;Østerbro;e7156220-93cc-4acb-ae69-3d3b8b161174;Genoptræningstilbud, Sundhedshus;;JA;No;JA;L3755;U2302;869090;https://kkorg.kk.dk/tree-unit/5ba3c73776989e158c006ccb;154;MULTIPOINT ((12.580294549785318 55.70744602019399))
kkorg_enheder_offentlig.155;925;5294;Valby/Vesterbro/Kgs. Enghave Klynge B;BUF;Område Valby/Vesterbro/Kgs. Enghave;Administration af sundhedsvæsen, undervisning, kultur og sociale forhold undtagen social sikring;Kommunal;Valby-Vesterbro-Kgs. Enghave;36611;36611;5,79801E+12;64942212;82601015;;5294;Valby/Vesterbro/Kgs. Enghave Klynge B;1031715;1017111031;;36611@buf.kk.dk;;;Gårdstedet 57;Gårdstedet;2500;Valby;57;1;;Gårdstedet 57, 2500 Valby;124.829.284;556.555.038;6173240.39;719101.87;2484;København;101;;Harrestrup Å Skole;Valby-Vesterbro-Kgs. Enghave;;Valby;Valby;230;Gårdstedets;7;Valby;56410b52-cba8-4fbf-ab3c-1f253dc29b6c;Klynge;;JA;No;JA;L2044;U192;841200;https://kkorg.kk.dk/tree-unit/5ba3c71476989e11dc004607;155;MULTIPOINT ((12.482928358964992 55.65550380766376))
kkorg_enheder_offentlig.156;259;1921;Kernehuset;BUF;Område Nørrebro/Bispebjerg;Aldersintegrerede institutioner;Kommunal;Nørrebro-Bispebjerg;37562;37562;5,79801E+12;64942212;82601015;;375625620;Nørrebro/Bispebjerg Klynge C;750530;1003254507;33175210;37562@buf.kk.dk;;https://kernehuset-kk.aula.dk;Agnes Henningsens Vej 8;Agnes Henningsens Vej;2200;København N;8;;;Agnes Henningsens Vej 8, 2200 København N;125.564.828;556.943.453;6177794.96;723505.12;54;København;101;;Guldberg Skole;Nørrebro;;København N;Nørrebro;115;Nørre Alles;4;Nørrebro;e79d56ae-d620-46fa-bfcd-d61ff49cec77;Aldersintegreret institution, Borgerhenvendelse, Børnehave, Daginstitution, Vuggestue;;JA;No;JA;L3912;U475;889150;https://kkorg.kk.dk/tree-unit/5ba3c71976989e06380002a9;156;MULTIPOINT ((12.556482762718836 55.69434532702774))
kkorg_enheder_offentlig.157;895;5197;Amager Klynge D;BUF;Område Amager;Administration af sundhedsvæsen, undervisning, kultur og sociale forhold undtagen social sikring;Kommunal;Amager;36031;36031;5,79801E+12;64942212;82601015;;5197;Amager Klynge D;1031520;1017049492;;36031@buf.kk.dk;;;Nordre Digevej 2;Nordre Digevej;2300;København S;2;;;Nordre Digevej 2, 2300 København S;12.589.626;556.544.449;6173464.95;725816.89;5036;København;101;;Peder Lykke Skolen;Amager;;København S;Amager Vest;336;Faste Batteris;12;Amager Vest;5a65c489-5b96-4b07-ae6d-d6eac46635b5;Klynge;;JA;No;JA;L3760;U137;841200;https://kkorg.kk.dk/tree-unit/5ba3c71376989e11dc0044bd;157;MULTIPOINT ((12.589626017446156 55.654444934453316))
kkorg_enheder_offentlig.158;423;2140;Børneinstitutionen Enghave;BUF;Område Valby/Vesterbro/Kgs. Enghave;Aldersintegrerede institutioner;Selvejende;Valby-Vesterbro-Kgs. Enghave;35585;35585;;61022414;82601015;;355859999;Valby/Vesterbro/Kgs. Enghave Netværk 1;1025549;9999999996;26125201;35585@buf.kk.dk;;https://boerneinstitutionenenghave-kk.aula.dk;Kobbelvænget 65;Kobbelvænget;2700;Brønshøj;65;;;Kobbelvænget 65, 2700 Brønshøj;124.844.908;557.136.962;6179717.29;718874.62;3824;København;101;;Tingbjerg Skole;Brønshøj-Husum-Vanløse;;Brønshøj;Brønshøj-Husum;264;Voldparkens;9;Brønshøj-Husum ;84446f44-1d6e-493a-9b34-35d3485dec53;Aldersintegreret institution, Børnehave, Daginstitution, Udflytteradresse;;NEJ;No;JA;L1611;U221;889150;https://kkorg.kk.dk/tree-unit/5ba3c71476989e11dc0046b5;158;MULTIPOINT ((12.484490764528806 55.713696307149846))
kkorg_enheder_offentlig.159;1318;3698;Lions Neurocenter - Rengøring;SOF;Borgercenter Handicap;Døgninstitutioner for personer med fysisk handicap;Selvejende;Bispebjerg;64721;64721;5,79E+12;25527747;25527747;;647215423;BCH-CEH;752516;1007809413;33663366;;;;Tuborgvej 181;Tuborgvej;2400;København NV;181;;;Tuborgvej 181, 2400 København NV;12.541.565;557.179.498;6180372.11;722433.83;7684;København;101;;Tagensbo Skole;Bispebjerg;;København NV;Bispebjerg;313;Lersøparkens;10;Bispebjerg;3181cc08-9b2b-4ec4-8da4-11e461748cd9;Handicaptilbud;;JA;No;JA;L456;U2773;873010;https://kkorg.kk.dk/tree-unit/5ba3c73f76989e12d8005d45;159;MULTIPOINT ((12.541565003528287 55.71794983435201))
kkorg_enheder_offentlig.160;41;5709;Hjerne, Tale og Psykisk Sårbarhed;BUF;Fagligt Center;Specialskoler for handicappede;Kommunal;Forvaltning - område/kontor;31506;31506;5,79801E+12;64942212;82601015;;5709;;1038925;1003254842;82561100;csv@kk.dk;;https://www.csv.kk.dk/;Frankrigsgade 4;Frankrigsgade;2300;København S;4;;;Frankrigsgade 4, 2300 København S;126.058.986;5.566.063;6174205.92;726804.29;1896;København;101;;Skolen på Amagerbro;Amager;;København S;Amager Øst;361;Lyons;11;Amager Øst;53c3e6a5-4655-43da-ab95-23485c83c3f7;Uddannelsescenter;;JA;No;JA;L303;U553;852020;https://kkorg.kk.dk/tree-unit/5ba3c71a76989e063800047d;160;MULTIPOINT ((12.605898647557217 55.660630056321146))
kkorg_enheder_offentlig.161;1465;5022;Grøndalsvænge - Nattevagt;SOF;Borgercenter Handicap;Døgninstitutioner for personer med fysisk handicap;Kommunal;Bispebjerg;64438;64438;5,79801E+12;64942212;55072817;;644384385;BCH COS;890700;1017713023;33663366;;;;Rabarbervej 6;Rabarbervej;2400;København NV;6;;;Rabarbervej 6, 2400 København NV;125.244.159;556.955.028;6177820.74;721484.28;5683;København;101;;Rødkilde Skole;Brønshøj-Husum-Vanløse;;København NV;Vanløse;281;Grøndalsvængets;8;Vanløse;82140888-ea67-4582-a3bc-9069a888474a;Handicaptilbud;;JA;No;JA;L3638;U2686;873010;https://kkorg.kk.dk/tree-unit/5ba3c73e76989e12d8005b3b;161;MULTIPOINT ((12.52441590462483 55.69550279126352))
kkorg_enheder_offentlig.162;1017;3686;Lions Neurocenter - Administration;SOF;Borgercenter Handicap;Døgninstitutioner for personer med fysisk handicap;Selvejende;Østerbro;64721;64721;5,79E+12;25527747;25527747;;647215428;BCH-CEH;752521;1007809413;35319090;;;;Tuborgvej 181;Tuborgvej;2400;København NV;181;;;Tuborgvej 181, 2400 København NV;12.541.565;557.179.498;6180372.11;722433.83;7684;København;101;;Tagensbo Skole;Bispebjerg;;København NV;Bispebjerg;313;Lersøparkens;10;Bispebjerg;efa7b79a-7418-460f-a90d-1d1ca0e9d73e;Offentlig administration;;JA;No;JA;L1228;U2781;873010;https://kkorg.kk.dk/tree-unit/5ba3c73f76989e12d8005d75;162;MULTIPOINT ((12.541565003528287 55.71794983435201))
kkorg_enheder_offentlig.163;215;1640;Børnehuset Urtehaven;BUF;Område Nørrebro/Bispebjerg;Aldersintegrerede institutioner;Kommunal;Nørrebro-Bispebjerg;37223;37223;5,79801E+12;64942212;82601015;;372232230;Nørrebro/Bispebjerg Klynge C;805593;1010394518;33662530;37223@buf.kk.dk;;https://urtehaven-kk.aula.dk/;Møllegade 35;Møllegade;2200;København N;35;;;Møllegade 35, 2200 København N;125.596.085;556.934.941;6177710.38;723706.33;4892;København;101;;Guldberg Skole;Nørrebro;;København N;Nørrebro;115;Nørre Alles;4;Nørrebro;2bb2d416-3487-48f2-a587-c7c4eab4e514;Aldersintegreret institution, Børnehave, Daginstitution, Vuggestue;;NEJ;No;JA;L3145;U473;889150;https://kkorg.kk.dk/tree-unit/5ba3c71976989e063800029d;163;MULTIPOINT ((12.559608542953056 55.69349412586836))
kkorg_enheder_offentlig.164;624;3781;3. sal Syd;SOF;Borgercenter Handicap;Døgninstitutioner for personer med fysisk handicap;Kommunal;Bispebjerg;64137;64137;5,79801E+12;64942212;55072817;3. sal Syd;641371371;BCH CAS;804756;1017629758;22819506;;;;Musvågevej 24;Musvågevej;2400;København NV;24;;;Musvågevej 24, 2400 København NV;125.282.518;557.013.825;6178486.92;721691.92;4872;København;101;;Grøndalsvængets Skole;Bispebjerg;;København NV;Bispebjerg;293;Lærkevejs;10;Bispebjerg;c9160447-cf2b-414d-b9cf-0657ab784f4a;Handicaptilbud;;JA;No;JA;L2603;U2808;873010;https://kkorg.kk.dk/tree-unit/5ba3c73f76989e12d8005e17;164;MULTIPOINT ((12.528251791228048 55.701382537882495))
kkorg_enheder_offentlig.165;1494;2657;Værestedet Ydre Nørrebro (RCYN);SOF;Borgercenter Børn og Unge;Fritids- og ungdomsklubber;Selvejende;Nørrebro;68125;68125;;64942212;55072817;;681258125;BBU CFR;1013327;1020926542;33663366;;;;Tagensvej 85D;Tagensvej;2200;København N;85D;;;Tagensvej 85D, 2200 København N;125.481.342;557.022.654;6178648.89;722935.59;7336;København;101;;Rådmandsgades Skole;Nørrebro;;København N;Nørrebro;156;Kingos Kirkes;4;Nørrebro;091819c5-bf25-474f-b124-28a150882eaa;Rådgivning til børn og unge, Tilbud;;JA;No;JA;L1932;U3017;889160;https://kkorg.kk.dk/tree-unit/5ba3c74376989e12c800123d;165;MULTIPOINT ((12.5481342464989 55.70226539802407))
